"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","PID","start_time","rt","response","view_history","question_order","stimulus","task","player_num","trial_num","binned_trial_num","reward","prop_return","prop_return_noise","choice","survey_type","pattern_response","source_partner_0","source_name_0","target_name_0","correct_0","source_partner_2","source_name_2","target_name_2","correct_2","total_correct","total_questions","accuracy"
true,false,"[]","[]","[]","preload",0,370,"0.0-0.0","5f2f8574ff256b37b1970220",,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,"fullscreen",1,8550,"0.0-1.0","5f2f8574ff256b37b1970220",,,7175,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",2,13091,"0.0-2.0","5f2f8574ff256b37b1970220",,,4539,"{""participant_id"":""5f2f8574ff256b37b1970220""}",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",3,53298,"0.0-3.0","5f2f8574ff256b37b1970220",,,40206,"{""session_username"":""Nisz06""}",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",4,56246,"0.0-4.0","5f2f8574ff256b37b1970220",,,2947,,"[{""page_index"":0,""viewing_time"":2947}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",5,164225,"0.0-5.0-0.0","5f2f8574ff256b37b1970220",,,107978,,"[{""page_index"":0,""viewing_time"":21911},{""page_index"":1,""viewing_time"":39332},{""page_index"":2,""viewing_time"":33752},{""page_index"":3,""viewing_time"":12983}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",6,239099,"0.0-5.0-1.0","5f2f8574ff256b37b1970220",,,74871,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $0.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $20.00, Partner: $20.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",7,252486,"0.0-5.0-2.0","5f2f8574ff256b37b1970220",,,13385," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: red;"">❌ If you share $1.00 and partner returns $0.50 - Incorrect</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $10.00 and partner returns half - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: red; font-weight: bold; margin-top: 20px; font-size: 18px;"">Some answers were incorrect. Please review the instructions and try again.</p></div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",8,331318,"0.0-5.1-0.1","5f2f8574ff256b37b1970220",,,78831,,"[{""page_index"":0,""viewing_time"":5583},{""page_index"":1,""viewing_time"":13800},{""page_index"":2,""viewing_time"":57628},{""page_index"":3,""viewing_time"":1821}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",9,348323,"0.0-5.1-1.1","5f2f8574ff256b37b1970220",,,17003,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $1.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $20.00, Partner: $20.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,,
