"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","PID","start_time","rt","response","view_history","question_order","stimulus","task","choice","player_num","trial_num","binned_trial_num","reward","prop_return","prop_return_noise","survey_type","pattern_response","source_partner_0","source_name_0","target_name_0","correct_0","source_partner_2","source_name_2","target_name_2","correct_2","total_correct","total_questions","accuracy"
true,false,"[]","[]","[]","preload",0,338,"0.0-0.0","663a7dc83986ee24fb6ec0e6",,,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,"fullscreen",1,4295,"0.0-1.0","663a7dc83986ee24fb6ec0e6",,,2947,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",2,6592,"0.0-2.0","663a7dc83986ee24fb6ec0e6",,,2292,"{""participant_id"":""663a7dc83986ee24fb6ec0e6""}",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",3,28655,"0.0-3.0","663a7dc83986ee24fb6ec0e6",,,22062,"{""session_username"":""PaCo03""}",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",4,31207,"0.0-4.0","663a7dc83986ee24fb6ec0e6",,,2550,,"[{""page_index"":0,""viewing_time"":2550}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",5,109766,"0.0-5.0-0.0","663a7dc83986ee24fb6ec0e6",,,78559,,"[{""page_index"":0,""viewing_time"":11307},{""page_index"":1,""viewing_time"":28591},{""page_index"":2,""viewing_time"":23375},{""page_index"":3,""viewing_time"":15285}]",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",6,137445,"0.0-5.0-1.0","663a7dc83986ee24fb6ec0e6",,,27677,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $9.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $20.00, Partner: $20.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",7,140020,"0.0-5.0-2.0","663a7dc83986ee24fb6ec0e6",,,2572," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $1.00 and partner returns $0.50 - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $10.00 and partner returns half - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: green; font-weight: bold; margin-top: 20px; font-size: 18px;"">All answers are correct! You can now proceed to the experiment.</p></div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",8,142956,"0.0-6.0","663a7dc83986ee24fb6ec0e6",,,2936," ",,,"[""<div class=\""gameHeader\"">\n        </div>\n    <div class=\""offerCard\"" style=\""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;\"">\n        <div class=\""bidOffer\"" style=\""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;\"">\n    <div class =\""wrapTextBox\"">\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\"">All participants are ready to begin the session.</p>\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\"">Four participants have been randomly matched as your partners for this experiment.</p>\n        <p style=\""font-family: 'Times New Roman', Times, serif; font-size: 18px;\""><strong>Press the spacebar to begin the game!</strong></p>\n    </div>\n    </div>\n    </div>""]",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",9,148614,"0.0-7.0","663a7dc83986ee24fb6ec0e6",,,5657," ",,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"">
        <div class=""bidOffer"">
            <div class=""instructionsText"">
        <div class =""wrapTextBox"">
            <p><strong>Practice Phase</strong></p>
            <p>Let's practice the task before starting the real experiment.</p>
            <p>You will complete 4 practice trials. These won't count toward your final payment.</p>
            <p>Press the spacebar to begin practice.</p>
        </div>
        </div>
        </div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",10,149778,"0.0-8.0-0.0","663a7dc83986ee24fb6ec0e6",,,1163,"j",,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;"">
        <div class=""offers"">
        <div class=""textPrompt""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">How much money do you want
        <br>to give Partner?</p></div>
            <div class =""trustElements"">
            <div class=""player1Card""><p class=""player1Image""><img src=""src/images/gray_guy.png"" width=""150""></p>
                <div class=""player1Name""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">PaCo03</p></div>
            </div>

                <div class=""investmentCard"">
                    <div id=""leftBlock"" class=""leftBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$1</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""F"" key</p>
                    </div>
                    <div id=""rightBlock"" class=""rightBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$10</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""J"" key</p>
                    </div>
                </div>

            <div class=""player2Card""><p class=""player2Image""><img src=src/images/blue_guy.png width=""150""></p>
                <div class=""player2Name""><p>Partner</p></div>
            </div>
            </div>
        </div>
        </div>
    </div>","practice_choice",10,0,1,1,14,0.35604588187698033,-0.005275031425134408,,,,,,,,,,,,,
,,,,,"html-keyboard-response",11,153510,"0.0-8.0-1.0","663a7dc83986ee24fb6ec0e6",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div class=""outcomeText""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">You selected $10.00</p>

        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;""><br>Your partner is deciding how much to return.</p></div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",12,157515,"0.0-8.0-2.0","663a7dc83986ee24fb6ec0e6",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div style=""display: flex; flex-direction: column; align-items: center; justify-content: center; width: 100%;"">
            <div class=""player2Card"" style=""margin-bottom: 20px;"">
                <p class=""player2Image""><img src=src/images/blue_guy.png width=""150""></p>
                <div class=""player2Name""><p>Partner</p></div>
            </div>

            <div style=""background-color: #f8f9fa; border-radius: 10px; padding: 15px; text-align: center; max-width: 400px;"">
                <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin: 0;"">Partner received <strong>$40.00</strong> and returned <strong>$14.00</strong> to you.</p>
            </div>
        </div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",13,161514,"0.0-8.0-3.0-0.0","663a7dc83986ee24fb6ec0e6",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div class=""outcomeText""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">The next round will begin momentarily.</p>

    <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">Please wait.</p></div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",14,161962,"0.0-8.0-0.1","663a7dc83986ee24fb6ec0e6",,,446,"j",,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;"">
        <div class=""offers"">
        <div class=""textPrompt""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">How much money do you want
        <br>to give Partner?</p></div>
            <div class =""trustElements"">
            <div class=""player1Card""><p class=""player1Image""><img src=""src/images/gray_guy.png"" width=""150""></p>
                <div class=""player1Name""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">PaCo03</p></div>
            </div>

                <div class=""investmentCard"">
                    <div id=""leftBlock"" class=""leftBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$1</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""F"" key</p>
                    </div>
                    <div id=""rightBlock"" class=""rightBlock"">
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">$10</p>
                        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px; margin-top: 5px; color: #666;"">Press ""J"" key</p>
                    </div>
                </div>

            <div class=""player2Card""><p class=""player2Image""><img src=src/images/yellow_guy.png width=""150""></p>
                <div class=""player2Name""><p>Partner</p></div>
            </div>
            </div>
        </div>
        </div>
    </div>","practice_choice",10,1,2,1,14.8,0.36132693190684567,0.00798618258168846,,,,,,,,,,,,,
,,,,,"html-keyboard-response",15,164615,"0.0-8.0-1.1","663a7dc83986ee24fb6ec0e6",,,,,,,"<div class=""gameHeader"">
        </div>
    <div class=""offerCard"" style=""height: auto; min-height: 90vh; overflow-y: auto; display: flex; justify-content: center;"">
        <div class=""bidOffer"" style=""overflow-y: auto; display: flex; flex-direction: column; justify-content: center;""><div class=""outcomeText""><p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;"">You selected $10.00</p>

        <p style=""font-family: 'Times New Roman', Times, serif; font-size: 18px;""><br>Your partner is deciding how much to return.</p></div></div>
    </div>",,,,,,,,,,,,,,,,,,,,,
