"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","PID","start_time","rt","response","view_history","question_order","stimulus","task","choice","player_num","trial_num","binned_trial_num","reward","prop_return","prop_return_noise","survey_type","source_partner_0","source_name_0","target_name_0","correct_0","source_partner_2","source_name_2","target_name_2","correct_2","total_correct","total_questions","accuracy"
true,false,"[]","[]","[]","preload",0,4959,"0.0-0.0","67cdc3c7ea7918dcd6f2ab2d",,,,,,,,,,,,,,,,,,,,,,,,,,,
true,,,,,"fullscreen",1,15131,"0.0-1.0","67cdc3c7ea7918dcd6f2ab2d",,,9162,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",2,18275,"0.0-2.0","67cdc3c7ea7918dcd6f2ab2d",,,3141,"{""participant_id"":""67cdc3c7ea7918dcd6f2ab2d""}",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-html-form",3,110113,"0.0-3.0","67cdc3c7ea7918dcd6f2ab2d",,,91836,"{""session_username"":""CHTH08""}",,,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",4,116954,"0.0-4.0","67cdc3c7ea7918dcd6f2ab2d",,,6839,,"[{""page_index"":0,""viewing_time"":6839}]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",5,323232,"0.0-5.0-0.0","67cdc3c7ea7918dcd6f2ab2d",,,206277,,"[{""page_index"":0,""viewing_time"":31802},{""page_index"":1,""viewing_time"":66711},{""page_index"":2,""viewing_time"":42720},{""page_index"":3,""viewing_time"":65043}]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",6,537943,"0.0-5.0-1.0","67cdc3c7ea7918dcd6f2ab2d",,,214708,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $1.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $5.00, Partner: $35.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",7,548748,"0.0-5.0-2.0","67cdc3c7ea7918dcd6f2ab2d",,,10803," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: red;"">❌ If you share $1.00 and partner returns $0.50 - Incorrect</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: red;"">❌ If you share $10.00 and partner returns half - Incorrect</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: red; font-weight: bold; margin-top: 20px; font-size: 18px;"">Some answers were incorrect. Please review the instructions and try again.</p></div>",,,,,,,,,,,,,,,,,,,,
,,,,,"instructions",8,683245,"0.0-5.1-0.1","67cdc3c7ea7918dcd6f2ab2d",,,134496,,"[{""page_index"":0,""viewing_time"":2357},{""page_index"":1,""viewing_time"":8480},{""page_index"":2,""viewing_time"":121025},{""page_index"":3,""viewing_time"":2634}]",,,,,,,,,,,,,,,,,,,,,,
,,,,,"survey-multi-choice",9,781462,"0.0-5.1-1.1","67cdc3c7ea7918dcd6f2ab2d",,,98215,"{""min_max"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>$1 minimum, $10 maximum</span>"",""scenario_1"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $9.50, Partner: $3.50</span>"",""scenario_2"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>You: $20.00, Partner: $20.00</span>"",""trials_selected"":""<span style='font-family: Times New Roman, Times, serif; font-size: 18px;'>4 trials</span>""}",,"[0,1,2,3]",,,,,,,,,,,,,,,,,,,,,
,,,,,"html-keyboard-response",10,784876,"0.0-5.1-2.1","67cdc3c7ea7918dcd6f2ab2d",,,3412," ",,,"<div class=""wrapTextBox""><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; margin-bottom: 20px;""><strong>Comprehension Check Results</strong></p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ What is the minimum and maximum you can share - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $1.00 and partner returns $0.50 - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ If you share $10.00 and partner returns half - Correct</p><p style=""font-family: Times New Roman, Times, serif; font-size: 18px; color: green;"">✓ How many trials determine your bonus payment - Correct</p><p style=""font-family: Times New Roman, Times, serif; color: green; font-weight: bold; margin-top: 20px; font-size: 18px;"">All answers are correct! You can now proceed to the experiment.</p></div>",,,,,,,,,,,,,,,,,,,,
